year,month,date,Season,dataSeason,company,track,volume_origin,volume_desc,volume,origin_round,round
2014,Jul,Jul-14,Q3,2014 Q3,“鹦鹉螺”云教室,SaaS & Informatization,2000,2000,2000,A,A
2018,Feb,Feb-18,Q1,2018 Q1,100课堂,Language Learning,0,0,800,Seed/Angel,Seed/Angel
2014,Jul,Jul-14,Q3,2014 Q3,17zuoye,K12,13000,13000,13000,C,C
2015,Jan,Jan-15,Q1,2015 Q1,17zuoye,K12,63700,63700,63700,D,D
2018,Mar,Mar-18,Q1,2018 Q1,17zuoye,K12,162500,162500,162500,E,E
2015,Jul,Jul-15,Q3,2015 Q3,2平米智慧学习桌,Others,20,20,20,Seed/Angel,Seed/Angel
2018,Jan,Jan-18,Q1,2018 Q1,34learning,Vocational Edu.,200,200,200,Pre-A,Pre-A
2015,Apr,Apr-15,Q2,2015 Q2,360教育集团,Study Abroad Services,5000,5000,5000,A,A
2014,Apr,Apr-14,Q2,2014 Q2,365好老师,K12,200,200,200,Seed/Angel,Seed/Angel
2017,Dec,Dec-17,Q4,2017 Q4,3E口语,Language Learning,1000,1000,1000,Seed/Angel,Seed/Angel
2016,Oct,Oct-16,Q4,2016 Q4,51CTO,Vocational Edu.,10000,10000,10000,B,B
2014,Jul,Jul-14,Q3,2014 Q3,51talk,Language Learning,18330,18330,18330,C,C
2015,Aug,Aug-15,Q3,2015 Q3,51talk,Language Learning,13000,13000,13000,D,D
2018,Jun,Jun-18,Q2,2018 Q2,51选校网,K12,0,0,6000,Undiscloused,Undiscloused
2016,Aug,Aug-16,Q3,2016 Q3,8只小猪,Study Abroad Services,1000,1000,1000,Pre-A,Pre-A
2015,Jul,Jul-15,Q3,2015 Q3,91外教,Language Learning,0,0,800,Seed/Angel,Seed/Angel
2015,Oct,Oct-15,Q4,2015 Q4,A+课堂,Higher Edu.,200,200,200,Seed/Angel,Seed/Angel
2014,Apr,Apr-14,Q2,2014 Q2,ABC360,Language Learning,800,800,800,Seed/Angel,Seed/Angel
2014,Oct,Oct-14,Q4,2014 Q4,ABC360,Language Learning,2000,2000,2000,A,A
2016,Mar,Mar-16,Q1,2016 Q1,ABC360,Language Learning,7000,7000,7000,B,B
2017,Apr,Apr-17,Q2,2017 Q2,ABC360,Language Learning,20000,20000,20000,B+,B
2018,Jun,Jun-18,Q2,2018 Q2,ABC360,Language Learning,52000,52000,52000,C,C
2018,Mar,Mar-18,Q1,2018 Q1,ACEE思式国际教育,Study Abroad Services,2000,2000,2000,Pre-A,Pre-A
2017,Aug,Aug-17,Q3,2017 Q3,ACG艺术留学,Study Abroad Services,10000,10000,10000,Strategic Investment,Strategic Investment
2014,Jun,Jun-14,Q2,2014 Q2,Afanti,K12,1000,1000,1000,Seed/Angel,Seed/Angel
2014,Dec,Dec-14,Q4,2014 Q4,Afanti,K12,11466,11466,11466,A,A
2015,Dec,Dec-15,Q4,2015 Q4,Afanti,K12,38220,38220,38220,B,B
2018,Oct,Oct-18,Q4,2018 Q4,AIDAD,Early Childhood Edu.,数百万人民币,200,200,Seed/Angel,Seed/Angel
2017,Nov,Nov-17,Q4,2017 Q4,Alo7,Language Learning,24375,24375,24375,D,D
2014,Jul,Jul-14,Q3,2014 Q3,AR学校,Early Childhood Edu.,1000,1000,1000,Pre-A,Pre-A
2015,Aug,Aug-15,Q3,2015 Q3,babycan,Early Childhood Edu.,200,200,200,Pre-A,Pre-A
2016,Sep,Sep-16,Q3,2016 Q3,BellRobot,STEM,8000,8000,8000,A,A
2018,Mar,Mar-18,Q1,2018 Q1,BellRobot,STEM,20000,20000,20000,B,B
2018,Oct,Oct-18,Q4,2018 Q4,BESTCODE,STEM,数百万人民币,200,200,Seed/Angel,Seed/Angel
2018,May,May-18,Q2,2018 Q2,Biendata,Vocational Edu.,0,0,800,Seed/Angel,Seed/Angel
2015,May,May-15,Q2,2015 Q2,BoniO（中国台湾）,K12,3822,3822,3822,Strategic Investment,Strategic Investment
2014,May,May-14,Q2,2014 Q2,BOXFiSH,Language Learning,1300,1300,1300,Seed/Angel,Seed/Angel
2015,Apr,Apr-15,Q2,2015 Q2,BOXFiSH,Language Learning,7800,7800,7800,A,A
2016,Jan,Jan-16,Q1,2016 Q1,BOXFiSH,Language Learning,19500,19500,19500,B,B
2016,Nov,Nov-16,Q4,2016 Q4,BOXFiSH,Language Learning,0,0,19500,B+,B
2018,May,May-18,Q2,2018 Q2,BOXFiSH,Language Learning,20000,20000,20000,C,C
2015,Nov,Nov-15,Q4,2015 Q4,callcall教师,K12,1000,1000,1000,Seed/Angel,Seed/Angel
2017,Nov,Nov-17,Q4,2017 Q4,CC视频,SaaS & Informatization,20080,20080,20080,C,C
2016,Jan,Jan-17,Q1,2017 Q1,CC英语,Language Learning,1000,1000,1000,A,A
2014,Sep,Sep-14,Q3,2014 Q3,ChangingEdu,K12,1300,1300,1300,A,A
2015,Apr,Apr-15,Q2,2015 Q2,ChangingEdu,K12,9555,9555,9555,B,B
2015,May,May-15,Q2,2015 Q2,ChangingEdu,K12,0,0,9555,B+,B
2015,Jun,Jun-15,Q2,2015 Q2,ChangingEdu,K12,63700,63700,63700,C,C
2016,Dec,Dec-16,Q4,2016 Q4,ChangingEdu,K12,12240,12240,12240,C+,C
2017,Oct,Oct-17,Q4,2017 Q4,ChangingEdu,K12,35750,35750,35750,D,D
2014,Apr,Apr-14,Q2,2014 Q2,ChaseFuture,Study Abroad Services,260,260,260,Seed/Angel,Seed/Angel
2016,Apr,Apr-16,Q2,2016 Q2,Chengzhangbao,Enrichment Programs,1000,1000,1000,Pre-A,Pre-A
2017,Jul,Jul-17,Q3,2017 Q3,Chengzhangbao,Enrichment Programs,5000,5000,5000,A,A
2018,Mar,Mar-18,Q1,2018 Q1,Chengzhangbao,Enrichment Programs,15000,15000,15000,B,B
2018,May,May-18,Q2,2018 Q2,Chengzhangbao,Enrichment Programs,15000,15000,15000,B+,B
2014,Jul,Jul-14,Q3,2014 Q3,ChineseSkill,Language Learning,200,200,200,Seed/Angel,Seed/Angel
2016,Dec,Dec-16,Q4,2016 Q4,Codemao,STEM,2000,2000,2000,A,A
2017,May,May-17,Q2,2017 Q2,Codemao,STEM,1500,1500,1500,A+,A
2017,Nov,Nov-17,Q4,2017 Q4,Codemao,STEM,12000,12000,12000,B,B
2018,Jan,Jan-18,Q1,2018 Q1,Codemao,STEM,0,0,12000,Strategic Investment,Strategic Investment
2018,May,May-18,Q2,2018 Q2,Codemao,STEM,30000,30000,30000,C,C
2017,Feb,Feb-17,Q1,2017 Q1,CourseIn 有教未来,Language Learning,2000,2000,2000,Pre-A,Pre-A
2017,Jun,Jun-17,Q2,2017 Q2,cshd,Vocational Edu.,30000,30000,30000,Undiscloused,Undiscloused
2015,Jun,Jun-15,Q2,2015 Q2,DaDaABC,Language Learning,2000,2000,2000,A,A
2016,Sep,Sep-16,Q3,2016 Q3,DaDaABC,Language Learning,20000,20000,20000,B,B
2016,Dec,Dec-16,Q4,2016 Q4,DaDaABC,Language Learning,20000,20000,20000,B+,B
2018,Jan,Jan-18,Q1,2018 Q1,DaDaABC,Language Learning,65000,65000,65000,C,C
2016,Sep,Sep-16,Q3,2016 Q3,Doing Now,Enrichment Programs,30000,30000,30000,A,A
2017,Sep,Sep-17,Q3,2017 Q3,Doing Now,Enrichment Programs,50000,50000,50000,B,B
2018,May,May-18,Q2,2018 Q2,Dr.S赛先生,STEM,2000,2000,2000,Seed/Angel,Seed/Angel
2016,Dec,Dec-16,Q4,2016 Q4,DreambigCareer,Study Abroad Services,8000万人民币,8000,8000,Pre-A,Pre-A
